CASE,OUTDOOR,SOCIAL,CONSERVATIVE,GROUP
1,10,22,5,1
2,14,17,6,1
3,19,33,7,1
4,14,29,12,1
5,14,25,7,1
6,20,25,12,1
7,6,18,4,1
8,13,27,7,1
9,18,31,9,1
10,16,35,13,1
11,17,25,8,1
12,10,29,11,1
13,17,25,7,1
14,10,22,13,1
15,10,31,13,1
16,18,25,5,1
17,0,27,11,1
18,10,24,12,1
19,15,23,10,1
20,8,29,14,1
21,6,27,11,1
22,10,17,8,1
23,1,30,6,1
24,14,29,7,1
25,13,21,11,1
26,21,31,11,1
27,12,26,9,1
28,12,22,9,1
29,5,25,7,1
30,10,24,5,1
31,3,20,14,1
32,6,25,12,1
33,11,27,10,1
34,13,21,14,1
35,11,23,5,1
36,8,18,8,1
37,5,17,9,1
38,11,22,11,1
39,14,22,11,1
40,22,22,6,1
41,16,28,6,1
42,12,25,8,1
43,12,25,7,1
44,15,21,4,1
45,11,28,8,1
46,11,20,9,1
47,15,19,9,1
48,15,24,7,1
49,15,21,10,1
50,17,26,7,1
51,12,28,13,1
52,7,28,12,1
53,14,12,6,1
54,22,24,6,1
55,22,27,12,1
56,18,30,9,1
57,16,18,5,1
58,12,23,4,1
59,16,22,2,1
60,15,26,9,1
61,7,13,7,1
62,6,18,6,1
63,9,24,6,1
64,9,20,12,1
65,20,28,8,1
66,5,22,15,1
67,14,26,17,1
68,8,28,12,1
69,14,22,9,1
70,15,26,4,1
71,15,25,10,1
72,14,27,6,1
73,15,25,11,1
74,11,26,9,1
75,10,28,5,1
76,7,22,10,1
77,11,15,12,1
78,14,25,15,1
79,18,28,7,1
80,14,29,8,1
81,17,20,6,1
82,13,25,14,1
83,9,21,12,1
84,13,26,13,1
85,16,24,10,1
86,20,27,6,2
87,21,15,10,2
88,15,27,12,2
89,15,29,8,2
90,11,25,11,2
91,24,9,17,2
92,18,21,13,2
93,14,18,4,2
94,13,22,12,2
95,17,21,9,2
96,16,28,13,2
97,15,22,12,2
98,24,20,15,2
99,14,19,13,2
100,14,28,1,2
101,18,17,11,2
102,14,24,7,2
103,12,16,10,2
104,16,21,10,2
105,18,19,9,2
106,19,26,7,2
107,13,20,10,2
108,28,16,10,2
109,17,19,11,2
110,24,14,7,2
111,19,23,12,2
112,22,12,8,2
113,22,21,11,2
114,21,19,9,2
115,18,24,13,2
116,23,27,11,2
117,20,23,12,2
118,19,13,7,2
119,17,28,13,2
120,20,24,5,2
121,21,23,11,2
122,17,21,15,2
123,11,25,12,2
124,14,19,14,2
125,18,24,5,2
126,13,14,7,2
127,22,18,16,2
128,25,17,13,2
129,19,25,13,2
130,20,20,9,2
131,21,25,11,2
132,17,24,11,2
133,18,26,10,2
134,21,29,11,2
135,17,21,12,2
136,17,19,12,2
137,17,16,6,2
138,16,22,5,2
139,22,19,10,2
140,19,23,12,2
141,16,23,9,2
142,18,27,11,2
143,21,24,12,2
144,15,22,13,2
145,19,26,12,2
146,14,17,11,2
147,15,23,7,2
148,23,20,16,2
149,22,26,15,2
150,13,16,11,2
151,25,29,11,2
152,23,24,7,2
153,17,29,9,2
154,21,19,7,2
155,15,13,6,2
156,19,27,14,2
157,22,24,14,2
158,17,18,8,2
159,21,19,8,2
160,24,18,13,2
161,21,12,9,2
162,15,17,8,2
163,24,22,14,2
164,19,19,7,2
165,23,16,10,2
166,21,29,12,2
167,20,19,11,2
168,18,28,0,2
169,23,21,16,2
170,17,17,8,2
171,17,24,5,2
172,17,18,15,2
173,17,23,10,2
174,19,15,10,2
175,17,20,8,2
176,25,20,8,2
177,16,19,8,2
178,19,16,6,2
179,19,19,16,3
180,17,17,12,3
181,8,17,14,3
182,13,20,16,3
183,14,18,4,3
184,17,12,13,3
185,17,12,17,3
186,14,21,16,3
187,19,18,12,3
188,18,16,15,3
189,15,14,17,3
190,20,15,7,3
191,24,20,13,3
192,16,16,17,3
193,17,15,10,3
194,17,10,12,3
195,11,16,11,3
196,15,18,14,3
197,20,19,16,3
198,14,22,16,3
199,13,15,18,3
200,16,14,13,3
201,12,12,6,3
202,17,17,19,3
203,10,8,16,3
204,11,17,20,3
205,13,16,7,3
206,19,15,13,3
207,15,11,13,3
208,17,11,10,3
209,15,10,13,3
210,19,14,12,3
211,19,14,15,3
212,4,12,11,3
213,13,12,15,3
214,20,13,19,3
215,14,18,14,3
216,10,12,9,3
217,11,12,19,3
218,8,20,8,3
219,14,16,7,3
220,18,20,15,3
221,19,7,13,3
222,21,13,11,3
223,14,26,15,3
224,25,16,12,3
225,18,11,19,3
226,14,16,6,3
227,13,20,18,3
228,20,16,14,3
229,12,14,8,3
230,16,19,12,3
231,21,15,7,3
232,18,23,15,3
233,19,11,13,3
234,17,18,9,3
235,4,10,15,3
236,17,17,14,3
237,14,13,12,3
238,15,16,14,3
239,20,13,18,3
240,20,14,18,3
241,16,22,12,3
242,9,13,16,3
243,15,13,13,3
244,18,20,10,3
